neuron,mean,sd
668,-0.7973282,0.43736213
669,-0.5325998,0.1730367
670,-0.5040229,0.1376739
671,-0.43958458,0.14956453
672,-0.50554615,0.16576552
673,-0.4933114,0.18556233
674,-0.7426897,0.47966823
675,-0.50346655,0.171589
676,-0.5034672,0.14680663
677,-0.45203304,0.1484924
678,-0.47577623,0.35275576
679,-0.46882978,0.17516197
680,-0.4748076,0.12788495
681,-0.55239767,0.3088943
682,-0.42829406,0.15001798
683,-0.45328164,0.28679013
684,-0.5287471,0.17086145
685,-0.76190126,0.42497352
686,-0.7026452,0.44528434
687,-0.53245807,0.14510773
688,-0.3709011,0.107208885
689,-0.6534876,0.40572214
690,-0.4907566,0.16767687
691,-0.4589189,0.15100391
692,-0.44366825,0.16689208
693,-0.4388696,0.14631687
694,-0.6959677,0.39011282
695,-0.43931353,0.14441022
696,-0.59289104,0.17014593
697,-0.4372305,0.1392108
698,-0.516486,0.15743294
699,-0.71743035,0.50911444
700,-0.41942692,0.14911565
701,-0.46200025,0.15772037
702,-0.72731024,0.4441023
703,-0.5000557,0.15775755
704,-0.8213373,0.4375611
705,-0.52225685,0.17094153
706,-0.41499758,0.14564444
707,-0.55008745,0.36220837
708,-0.74952376,0.42516237
709,-0.5050085,0.15409184
710,-0.9041261,0.5557934
711,-0.44610313,0.16053303
712,-0.53825366,0.16240439
713,-0.54649806,0.16256481
714,-0.65044993,0.39553535
715,-0.45046845,0.14825368
716,-0.60062474,0.21426776
717,-0.4550043,0.14194481
718,-0.77826315,0.46617812
719,-0.7357216,0.44096506
720,-0.3918882,0.12616213
721,-0.8012032,0.49979052
722,-0.53502643,0.35381326
723,-0.42843997,0.1332256
724,-0.73260045,0.50821537
725,-0.51858187,0.15899786
726,-0.80663717,0.50851625
727,-0.49908906,0.17725675
728,-0.52796894,0.16247772
729,-0.43373615,0.13679858
730,-0.49298984,0.14491343
731,-0.46270484,0.13250552
732,-0.54543334,0.30906174
733,-0.48443517,0.16242856
734,-0.48070353,0.1547548
735,-0.47867548,0.15762353
736,-0.47835547,0.14329326
737,-0.74803275,0.40547436
738,-0.3920806,0.15381312
739,-0.45722815,0.17482361
740,-0.52053344,0.16663608
741,-0.48398697,0.14577515
742,-0.45178565,0.22607622
743,-1.031403,0.5742967
744,-0.63639873,0.3720478
745,-0.49006435,0.14408603
746,-0.4578797,0.1670817
747,-0.5068245,0.34063283
748,-0.45108905,0.16351604
749,-0.46818492,0.16049872
750,-0.45015064,0.15929182
751,-0.6283558,0.41788277
752,-0.38757297,0.13435021
753,-0.5043053,0.1563322
754,-0.70493996,0.4134198
755,-0.71822035,0.41517928
756,-0.4496109,0.18893988
757,-0.42019942,0.18854603
758,-0.49190143,0.16027129
759,-0.41891116,0.12771931
760,-0.68520665,0.4379359
761,-0.48552477,0.16310135
762,-0.45666546,0.16701387
763,-0.53203535,0.15120842
764,-0.8522135,0.47145095
765,-0.47774935,0.14513172
766,-0.44986376,0.13864426
767,-0.9392466,0.5016075
768,-0.4769802,0.16716881
769,-0.38515627,0.180864
770,-0.5123728,0.18251011
771,-0.4271568,0.16747059
772,-0.42553928,0.13807057
773,-0.51907736,0.16318162
774,-0.7830176,0.48120514
775,-0.49558005,0.1371956
776,-0.5347194,0.18144879
777,-0.4537719,0.14855029
