alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
2.0,0.25,5.0,0.0712,2638.006,0.9959,0.0633,0.0232,0.0671,0.0671,0.1085,0.0003,0.0003,0.0709,0.072,0.072,0.0645,0.48127174377441406
3.0,0.25,5.0,0.0701,2519.6907,0.9953,0.0721,0.0291,0.066,0.066,0.1069,0.001,0.001,0.0691,0.0709,0.0709,0.063,0.48291015625
4.0,0.25,5.0,0.0674,2258.9947,0.9943,0.0817,0.0369,0.0635,0.0635,0.1026,0.0023,0.0023,0.0651,0.0682,0.0682,0.0603,0.4861924648284912
5.0,0.25,5.0,0.0596,1707.7761,0.9922,0.0995,0.0509,0.0556,0.0556,0.0962,0.0045,0.0045,0.0552,0.0605,0.0605,0.0521,0.4834463596343994
6.0,0.25,5.0,0.0373,823.1287,0.9888,0.1154,0.0707,0.0333,0.0333,0.073,0.006,0.006,0.0313,0.038,0.038,0.0311,0.4842660427093506
0,0.25,6.0,0.0695,2748.3174,0.9964,0.0504,0.0178,0.0658,0.0658,0.1032,0.0,0.0,0.0695,0.0701,0.0701,0.0647,0.4831252098083496
1.0,0.25,6.0,0.0705,2703.7087,0.9962,0.0545,0.0208,0.0664,0.0664,0.1074,0.0001,0.0001,0.0703,0.0712,0.0712,0.0641,0.48394203186035156
2.0,0.25,6.0,0.0713,2629.5176,0.9959,0.0643,0.0235,0.0672,0.0672,0.1087,0.0004,0.0004,0.0709,0.0721,0.0721,0.0645,0.49279022216796875
3.0,0.25,6.0,0.0701,2501.1771,0.9953,0.0724,0.0293,0.066,0.066,0.1069,0.0011,0.0011,0.069,0.0709,0.0709,0.0628,0.48312878608703613
4.0,0.25,6.0,0.0673,2231.5555,0.9943,0.0817,0.0372,0.0633,0.0633,0.1029,0.0025,0.0025,0.0648,0.0681,0.0681,0.0602,0.4864945411682129
5.0,0.25,6.0,0.0596,1686.8174,0.9922,0.0995,0.0509,0.0554,0.0554,0.0967,0.0046,0.0046,0.055,0.0604,0.0604,0.0521,0.4836149215698242
6.0,0.25,6.0,0.0373,822.6257,0.9888,0.1154,0.0707,0.0333,0.0333,0.073,0.006,0.006,0.0312,0.038,0.038,0.031,0.4832766056060791
0,0.5,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0,0.0703,0.0711,0.0711,0.0628,0.44928860664367676
1.0,0.5,0,0.0709,2701.0268,0.9964,0.0528,0.02,0.067,0.067,0.1052,0.0,0.0,0.0708,0.0718,0.0718,0.0627,0.45187830924987793
2.0,0.5,0,0.0714,2667.6004,0.9962,0.0587,0.024,0.0674,0.0674,0.108,0.0001,0.0001,0.0713,0.0724,0.0724,0.0631,0.45156145095825195
3.0,0.5,0,0.0712,2617.8333,0.9958,0.0714,0.0291,0.0671,0.0671,0.1079,0.0003,0.0003,0.0709,0.0723,0.0723,0.0613,0.45174598693847656
4.0,0.5,0,0.0707,2494.2926,0.9951,0.0839,0.0372,0.0667,0.0667,0.1067,0.001,0.001,0.0697,0.0716,0.0716,0.0626,0.4504833221435547
5.0,0.5,0,0.0651,2070.1198,0.9931,0.1012,0.0513,0.0615,0.0615,0.0977,0.0028,0.0028,0.0623,0.066,0.066,0.057,0.44923996925354004
6.0,0.5,0,0.0458,1173.085,0.9888,0.1156,0.0724,0.0425,0.0425,0.0751,0.0052,0.0052,0.0406,0.0465,0.0465,0.0391,0.45041751861572266
0,0.5,1.0,0.0702,2716.0868,0.9964,0.0509,0.0183,0.0665,0.0665,0.1037,0.0,0.0,0.0702,0.0711,0.0711,0.0627,0.4494922161102295
1.0,0.5,1.0,0.0708,2693.6927,0.9963,0.0523,0.0203,0.0668,0.0668,0.1066,0.0,0.0,0.0708,0.0717,0.0717,0.0629,0.44931840896606445
2.0,0.5,1.0,0.0713,2657.292,0.9961,0.0601,0.024,0.0671,0.0671,0.1088,0.0001,0.0001,0.0712,0.0722,0.0722,0.0633,0.45014071464538574
3.0,0.5,1.0,0.0713,2603.5766,0.9957,0.0716,0.0293,0.0672,0.0672,0.1077,0.0003,0.0003,0.071,0.0723,0.0723,0.0623,0.45061779022216797
4.0,0.5,1.0,0.0701,2466.1649,0.9949,0.0841,0.0377,0.0661,0.0661,0.1065,0.0011,0.0011,0.069,0.0711,0.0711,0.0615,0.45164990425109863
5.0,0.5,1.0,0.0626,1984.5042,0.9929,0.102,0.0518,0.0589,0.0589,0.0967,0.0031,0.0031,0.0596,0.0635,0.0635,0.0551,0.4510056972503662
6.0,0.5,1.0,0.0399,934.8066,0.9885,0.1166,0.0721,0.0365,0.0365,0.0709,0.0057,0.0057,0.0342,0.0405,0.0405,0.0345,0.45024943351745605
0,0.5,2.0,0.0703,2719.3216,0.9963,0.0506,0.0186,0.0666,0.0666,0.1034,0.0,0.0,0.0703,0.071,0.071,0.0637,0.4492185115814209
1.0,0.5,2.0,0.071,2696.4487,0.9963,0.0526,0.0205,0.067,0.067,0.1064,0.0,0.0,0.071,0.0718,0.0718,0.0639,0.44853806495666504
2.0,0.5,2.0,0.0714,2657.8748,0.9961,0.0592,0.024,0.0673,0.0673,0.1087,0.0002,0.0002,0.0713,0.0723,0.0723,0.064,0.4476802349090576
3.0,0.5,2.0,0.0711,2603.9306,0.9957,0.0724,0.0281,0.067,0.067,0.1077,0.0004,0.0004,0.0707,0.072,0.072,0.0624,0.448336124420166
4.0,0.5,2.0,0.0693,2460.6344,0.9949,0.0826,0.0372,0.0653,0.0653,0.1056,0.0012,0.0012,0.0681,0.0703,0.0703,0.0599,0.4502749443054199
5.0,0.5,2.0,0.0619,1953.1311,0.9928,0.1007,0.0521,0.0581,0.0581,0.0959,0.0032,0.0032,0.0586,0.0627,0.0627,0.0539,0.4487035274505615
6.0,0.5,2.0,0.0392,905.5031,0.9885,0.1147,0.0719,0.0359,0.0359,0.0694,0.0058,0.0058,0.0335,0.0399,0.0399,0.0334,0.44960880279541016
0,0.5,3.0,0.0704,2720.8651,0.9963,0.0506,0.0178,0.0667,0.0667,0.1035,0.0,0.0,0.0704,0.0711,0.0711,0.0638,0.45078110694885254
1.0,0.5,3.0,0.0707,2697.5227,0.9962,0.0523,0.0208,0.0668,0.0668,0.1062,0.0001,0.0001,0.0707,0.0715,0.0715,0.0633,0.4509456157684326
2.0,0.5,3.0,0.0712,2658.8526,0.9961,0.0592,0.0235,0.067,0.067,0.1087,0.0002,0.0002,0.071,0.072,0.072,0.0633,0.4496023654937744
3.0,0.5,3.0,0.0709,2602.9859,0.9957,0.0731,0.0279,0.0669,0.0669,0.1072,0.0004,0.0004,0.0705,0.0719,0.0719,0.0622,0.45880126953125
4.0,0.5,3.0,0.069,2451.021,0.9949,0.0831,0.0372,0.0649,0.0649,0.1053,0.0012,0.0012,0.0678,0.0701,0.0701,0.0594,0.4497535228729248
5.0,0.5,3.0,0.0616,1939.8539,0.9928,0.1007,0.0523,0.0578,0.0578,0.0952,0.0032,0.0032,0.0583,0.0624,0.0624,0.0539,0.45011472702026367
6.0,0.5,3.0,0.0392,904.3401,0.9885,0.1144,0.0724,0.0358,0.0358,0.0694,0.0058,0.0058,0.0334,0.0398,0.0398,0.0333,0.451582670211792
0,0.5,4.0,0.0704,2720.89,0.9963,0.0506,0.0181,0.0667,0.0667,0.1039,0.0,0.0,0.0704,0.0712,0.0712,0.0636,0.45215678215026855
