alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
1,0.0,5,0.0687,2761.2311,0.9964,0.055,0.0203,0.0648,0.0648,0.104,0.00010000000000000286,0.0686,0.0693,0.0693,0.063,0.517514944
2,0.0,5,0.0698,2685.0302,0.996,0.0648,0.0237,0.0655,0.0655,0.1082,0.0003999999999999976,0.0694,0.0705,0.0705,0.0635,0.51819849
3,0.0,5,0.0694,2550.3645,0.9954,0.0731,0.0289,0.0652,0.0652,0.1079,0.0010000000000000009,0.0684,0.0703,0.0703,0.062,0.517942667
4,0.0,5,0.0668,2256.1194,0.9943,0.0822,0.0374,0.0629,0.0629,0.1019,0.0023999999999999994,0.0644,0.0678,0.0678,0.0576,0.520672798
5,0.0,5,0.0589,1678.6619,0.9921,0.0978,0.0511,0.0549,0.0549,0.095,0.004500000000000004,0.0544,0.0597,0.0597,0.0509,0.519281864
6,0.0,5,0.0366,827.0447,0.9887,0.1152,0.0704,0.0328,0.0328,0.0708,0.006000000000000002,0.0306,0.0371,0.0371,0.0319,0.518791199
0,0.0,6,0.0672,2821.2091,0.9966,0.0516,0.0174,0.0639,0.0639,0.0971,0.0,0.0672,0.0677,0.0677,0.0628,0.518610477
1,0.0,6,0.0688,2766.9698,0.9964,0.0555,0.0205,0.0648,0.0648,0.1049,0.00010000000000000286,0.0687,0.0693,0.0693,0.0638,0.52089119
2,0.0,6,0.0699,2684.6013,0.996,0.0641,0.0249,0.0654,0.0654,0.11,0.0003999999999999976,0.0695,0.0706,0.0706,0.0632,0.518630266
3,0.0,6,0.0693,2537.5081,0.9954,0.0733,0.0291,0.0651,0.0651,0.107,0.0011000000000000038,0.0682,0.0702,0.0702,0.0613,0.518824577
4,0.0,6,0.0665,2224.7052,0.9943,0.0822,0.0377,0.0625,0.0625,0.1023,0.002600000000000005,0.0639,0.0675,0.0675,0.0577,0.525817871
5,0.0,6,0.0586,1654.2637,0.9921,0.0983,0.0516,0.0545,0.0545,0.0952,0.004499999999999997,0.0541,0.0595,0.0595,0.0505,0.519024134
6,0.0,6,0.0365,825.1307,0.9887,0.1154,0.0707,0.0327,0.0327,0.0708,0.005899999999999999,0.0306,0.037,0.037,0.0319,0.519173384
0,0.25,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0703,0.0711,0.0711,0.0628,0.484302998
1,0.25,0,0.0709,2695.5514,0.9963,0.0535,0.02,0.067,0.067,0.1063,0.0,0.0709,0.0718,0.0718,0.0625,0.484493732
2,0.25,0,0.0717,2653.0921,0.9961,0.0589,0.0232,0.0675,0.0675,0.1088,0.00020000000000000573,0.0715,0.0727,0.0727,0.0627,0.48503232
3,0.25,0,0.0716,2585.9458,0.9958,0.0689,0.0289,0.0675,0.0675,0.1092,0.0003999999999999976,0.0712,0.0727,0.0727,0.0617,0.48609066
4,0.25,0,0.0707,2430.9323,0.9949,0.0822,0.0357,0.0667,0.0667,0.1073,0.0011000000000000038,0.0696,0.0717,0.0717,0.0622,0.484895945
5,0.25,0,0.0656,2026.4459,0.993,0.0978,0.0501,0.062,0.062,0.0985,0.0030000000000000027,0.0626,0.0665,0.0665,0.0582,0.489399433
6,0.25,0,0.0483,1203.4291,0.9891,0.1176,0.0716,0.0447,0.0447,0.0813,0.0051,0.0432,0.0493,0.0493,0.0401,0.483837366
0,0.25,1,0.0698,2722.1713,0.9964,0.0521,0.0183,0.0663,0.0663,0.1012,0.0,0.0698,0.0706,0.0706,0.0627,0.483732462
1,0.25,1,0.0706,2693.0798,0.9963,0.0531,0.0198,0.0666,0.0666,0.1059,0.00010000000000000286,0.0705,0.0714,0.0714,0.0627,0.483457088
2,0.25,1,0.0713,2645.154,0.996,0.0609,0.0232,0.0671,0.0671,0.109,0.00020000000000000573,0.0711,0.0722,0.0722,0.063,0.485659122
3,0.25,1,0.0715,2565.3373,0.9956,0.0707,0.0296,0.0672,0.0672,0.1101,0.0005000000000000004,0.071,0.0726,0.0726,0.0624,0.484307528
4,0.25,1,0.0696,2375.4179,0.9947,0.0807,0.0362,0.0655,0.0655,0.1064,0.0015000000000000013,0.0681,0.0707,0.0707,0.06,0.483329058
5,0.25,1,0.0628,1907.4382,0.9927,0.0983,0.0511,0.0589,0.0589,0.0975,0.003599999999999992,0.0592,0.0635,0.0635,0.0568,0.484097004
6,0.25,1,0.0417,943.013,0.9887,0.1169,0.0716,0.0378,0.0378,0.0769,0.005600000000000001,0.0361,0.0425,0.0425,0.0348,0.482977152
0,0.25,2,0.0698,2734.8301,0.9964,0.0511,0.0174,0.0664,0.0664,0.1007,0.0,0.0698,0.0705,0.0705,0.0636,0.484183073
