alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
1.0,1,1.0,0.0244,138.555,0.8182,0.6991,0.3502,0.0251,0.0251,0.0181,0.0138,0.0138,0.0106,0.0222,0.0222,0.0439,0.3956317901611328
2.0,1,1.0,0.0241,128.2505,0.836,0.6605,0.329,0.025,0.025,0.016,0.0144,0.0144,0.0097,0.0219,0.0219,0.0438,0.39643120765686035
3.0,1,1.0,0.0225,112.7695,0.8686,0.5868,0.2859,0.0233,0.0233,0.0158,0.0146,0.0146,0.0079,0.0205,0.0205,0.0403,0.3967916965484619
4.0,1,1.0,0.0188,92.6846,0.9116,0.4731,0.2219,0.0196,0.0196,0.0119,0.013,0.013,0.0058,0.0171,0.0171,0.0341,0.39401912689208984
5.0,1,1.0,0.0135,69.3021,0.9556,0.3146,0.1426,0.014,0.014,0.0092,0.0105,0.0105,0.003,0.0128,0.0128,0.0198,0.3935964107513428
0.0,1,2.0,0.0234,134.585,0.8127,0.7113,0.3585,0.024,0.024,0.0176,0.0133,0.0133,0.0101,0.0212,0.0212,0.0428,0.39257359504699707
1.0,1,2.0,0.0235,127.5585,0.8162,0.7007,0.3562,0.0244,0.0244,0.016,0.0141,0.0141,0.0095,0.0214,0.0214,0.0428,0.3927326202392578
2.0,1,2.0,0.0233,117.8716,0.8358,0.6618,0.3289,0.0241,0.0241,0.0162,0.0149,0.0149,0.0084,0.0214,0.0214,0.0404,0.3988320827484131
3.0,1,2.0,0.0215,102.6372,0.8703,0.5829,0.2865,0.0222,0.0222,0.0151,0.0146,0.0146,0.0068,0.0198,0.0198,0.0364,0.39371252059936523
4.0,1,2.0,0.0173,81.8769,0.9154,0.4642,0.2168,0.0179,0.0179,0.0118,0.0129,0.0129,0.0044,0.0163,0.0163,0.0258,0.3951418399810791
5.0,1,2.0,0.0119,57.5717,0.9598,0.2911,0.1346,0.0123,0.0123,0.0086,0.0102,0.0102,0.0017,0.0119,0.0119,0.0121,0.397458553314209
0.0,1,3.0,0.0227,126.3515,0.8127,0.7117,0.3589,0.0233,0.0233,0.0167,0.0135,0.0135,0.0091,0.0207,0.0207,0.0399,0.3953378200531006
1.0,1,3.0,0.0229,119.5096,0.8167,0.7017,0.3548,0.0237,0.0237,0.0158,0.0143,0.0143,0.0086,0.0211,0.0211,0.0388,0.3973989486694336
2.0,1,3.0,0.0227,110.0715,0.8372,0.6588,0.3276,0.0234,0.0234,0.0165,0.0151,0.0151,0.0076,0.021,0.021,0.038,0.39507126808166504
3.0,1,3.0,0.0211,95.4478,0.8724,0.5784,0.2827,0.0217,0.0217,0.015,0.0148,0.0148,0.0062,0.0196,0.0196,0.0339,0.39455604553222656
4.0,1,3.0,0.0163,73.9289,0.9182,0.4572,0.2122,0.0168,0.0168,0.0113,0.0126,0.0126,0.0037,0.0156,0.0156,0.0226,0.3963007926940918
5.0,1,3.0,0.0111,50.245,0.9627,0.2794,0.1275,0.0114,0.0114,0.0081,0.0098,0.0098,0.0012,0.0114,0.0114,0.0087,0.3960084915161133
0.0,1,4.0,0.0224,121.4634,0.8154,0.7073,0.3556,0.023,0.023,0.0166,0.0136,0.0136,0.0087,0.0206,0.0206,0.0383,0.3963313102722168
1.0,1,4.0,0.0226,114.6696,0.8194,0.6969,0.3504,0.0233,0.0233,0.0158,0.0144,0.0144,0.0082,0.0208,0.0208,0.0387,0.39357924461364746
2.0,1,4.0,0.0225,105.5451,0.8398,0.6533,0.3228,0.0232,0.0232,0.0163,0.0151,0.0151,0.0074,0.0209,0.0209,0.0375,0.40592384338378906
3.0,1,4.0,0.0208,91.5791,0.8752,0.5719,0.2793,0.0214,0.0214,0.0153,0.0149,0.0149,0.0059,0.0194,0.0194,0.0334,0.3941924571990967
4.0,1,4.0,0.0159,70.6125,0.9206,0.4494,0.2099,0.0164,0.0164,0.0115,0.0125,0.0125,0.0034,0.0153,0.0153,0.0208,0.39693474769592285
5.0,1,4.0,0.0107,47.4759,0.9647,0.2683,0.1238,0.011,0.011,0.0082,0.0096,0.0096,0.0011,0.011,0.011,0.0076,0.40439629554748535
0.0,1,5.0,0.0223,120.7199,0.816,0.7057,0.3542,0.023,0.023,0.0164,0.0136,0.0136,0.0087,0.0205,0.0205,0.0385,0.3937830924987793
1.0,1,5.0,0.0225,113.958,0.8202,0.6953,0.3491,0.0233,0.0233,0.0158,0.0144,0.0144,0.0081,0.0207,0.0207,0.0386,0.39277076721191406
2.0,1,5.0,0.0225,104.8555,0.8405,0.6522,0.3209,0.0232,0.0232,0.0165,0.0152,0.0152,0.0073,0.0208,0.0208,0.0373,0.3965919017791748
3.0,1,5.0,0.0208,91.0384,0.8757,0.5705,0.2782,0.0214,0.0214,0.0154,0.0149,0.0149,0.0059,0.0195,0.0195,0.0331,0.3942410945892334
4.0,1,5.0,0.0158,70.2061,0.9211,0.4464,0.2091,0.0163,0.0163,0.0115,0.0124,0.0124,0.0034,0.0153,0.0153,0.0206,0.3967728614807129
5.0,1,5.0,0.0107,47.2718,0.965,0.2654,0.1229,0.011,0.011,0.0082,0.0096,0.0096,0.0011,0.011,0.011,0.0076,0.39690542221069336
0.0,1.5,0.0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,0.3492317199707031
1.0,1.5,0.0,0.0243,160.7685,0.8256,0.6879,0.3371,0.0247,0.0247,0.0199,0.0124,0.0124,0.0118,0.0222,0.0222,0.0427,0.3495779037475586
2.0,1.5,0.0,0.0248,154.1427,0.8294,0.6783,0.3354,0.0254,0.0254,0.0191,0.0135,0.0135,0.0112,0.0228,0.0228,0.0427,0.35626864433288574
3.0,1.5,0.0,0.025,141.1965,0.8409,0.6527,0.3217,0.0257,0.0257,0.0188,0.0148,0.0148,0.0102,0.0229,0.0229,0.0434,0.3495199680328369
4.0,1.5,0.0,0.0236,123.984,0.8679,0.5934,0.2879,0.0243,0.0243,0.0175,0.0149,0.0149,0.0088,0.0216,0.0216,0.0417,0.3518967628479004
5.0,1.5,0.0,0.0197,106.3153,0.9106,0.4839,0.2269,0.0205,0.0205,0.0132,0.0131,0.0131,0.0067,0.0178,0.0178,0.0369,0.3488633632659912
0.0,1.5,1.0,0.024,160.8975,0.8249,0.6932,0.3404,0.0245,0.0245,0.0193,0.0121,0.0121,0.0119,0.0219,0.0219,0.043,0.34914207458496094
1.0,1.5,1.0,0.0241,157.4582,0.8245,0.6903,0.3406,0.0246,0.0246,0.019,0.0125,0.0125,0.0116,0.022,0.022,0.0427,0.352370023727417
2.0,1.5,1.0,0.0244,150.7926,0.8288,0.6799,0.3359,0.0251,0.0251,0.0183,0.0136,0.0136,0.0109,0.0225,0.0225,0.042,0.35068655014038086
3.0,1.5,1.0,0.0245,137.6089,0.8413,0.6514,0.3216,0.0252,0.0252,0.0182,0.0146,0.0146,0.0098,0.0226,0.0226,0.0412,0.350372314453125
4.0,1.5,1.0,0.0232,120.1007,0.8695,0.5892,0.2866,0.0239,0.0239,0.0171,0.0149,0.0149,0.0083,0.0213,0.0213,0.0408,0.3508596420288086
5.0,1.5,1.0,0.0196,101.7791,0.9135,0.4725,0.2221,0.0203,0.0203,0.0133,0.0131,0.0131,0.0065,0.0177,0.0177,0.0359,0.3506498336791992
0.0,1.5,2.0,0.0242,161.1581,0.8256,0.6913,0.3401,0.0247,0.0247,0.0199,0.0121,0.0121,0.012,0.0219,0.0219,0.0446,0.35936975479125977
1.0,1.5,2.0,0.0243,157.6744,0.8254,0.6891,0.3398,0.0248,0.0248,0.0197,0.0125,0.0125,0.0117,0.022,0.022,0.0444,0.35038328170776367
2.0,1.5,2.0,0.0246,150.9412,0.8296,0.6789,0.335,0.0253,0.0253,0.0185,0.0136,0.0136,0.011,0.0225,0.0225,0.0432,0.35391783714294434
3.0,1.5,2.0,0.0246,137.7705,0.8423,0.65,0.3192,0.0252,0.0252,0.0187,0.0147,0.0147,0.0099,0.0226,0.0226,0.0425,0.35070252418518066
4.0,1.5,2.0,0.0233,119.9722,0.8704,0.5878,0.2852,0.0239,0.0239,0.0176,0.0149,0.0149,0.0084,0.0214,0.0214,0.0404,0.3496744632720947
5.0,1.5,2.0,0.0194,101.2213,0.9147,0.4677,0.2194,0.0201,0.0201,0.0134,0.0131,0.0131,0.0063,0.0177,0.0177,0.0349,0.3552384376525879
0.0,1.5,3.0,0.0242,161.3166,0.8259,0.6903,0.3389,0.0247,0.0247,0.0197,0.0121,0.0121,0.0121,0.0219,0.0219,0.0449,0.3485286235809326
1.0,1.5,3.0,0.0243,157.8268,0.8256,0.6882,0.3392,0.0248,0.0248,0.0197,0.0125,0.0125,0.0118,0.022,0.022,0.0445,0.3505105972290039
2.0,1.5,3.0,0.0246,151.109,0.8298,0.6784,0.3343,0.0253,0.0253,0.0185,0.0136,0.0136,0.011,0.0226,0.0226,0.0431,0.34934020042419434
3.0,1.5,3.0,0.0245,137.8875,0.8425,0.6498,0.3186,0.0252,0.0252,0.0188,0.0146,0.0146,0.0099,0.0225,0.0225,0.0428,0.3484652042388916
4.0,1.5,3.0,0.0233,120.026,0.8706,0.5867,0.2852,0.0239,0.0239,0.0176,0.0149,0.0149,0.0084,0.0214,0.0214,0.0405,0.3495216369628906
5.0,1.5,3.0,0.0194,101.2242,0.9149,0.4667,0.2196,0.0201,0.0201,0.0134,0.0131,0.0131,0.0063,0.0177,0.0177,0.0351,0.35130786895751953
0.0,1.5,4.0,0.0242,161.374,0.826,0.6901,0.3388,0.0247,0.0247,0.0197,0.0121,0.0121,0.0121,0.0219,0.0219,0.0449,0.35054588317871094
1.0,1.5,4.0,0.0243,157.8837,0.8257,0.6879,0.339,0.0248,0.0248,0.0197,0.0125,0.0125,0.0118,0.022,0.022,0.0445,0.35048675537109375
2.0,1.5,4.0,0.0246,151.1473,0.8299,0.6783,0.3342,0.0253,0.0253,0.0185,0.0136,0.0136,0.011,0.0225,0.0225,0.0431,0.35093116760253906
3.0,1.5,4.0,0.0245,137.9293,0.8425,0.6496,0.3185,0.0252,0.0252,0.0188,0.0146,0.0146,0.0099,0.0225,0.0225,0.0428,0.3515615463256836
4.0,1.5,4.0,0.0233,120.0429,0.8707,0.5867,0.2851,0.0239,0.0239,0.0176,0.0149,0.0149,0.0084,0.0214,0.0214,0.0405,0.351456880569458
5.0,1.5,4.0,0.0194,101.228,0.915,0.4667,0.2195,0.0201,0.0201,0.0134,0.0131,0.0131,0.0063,0.0177,0.0177,0.0351,0.35500144958496094
0.0,1.5,5.0,0.0242,161.4049,0.826,0.6901,0.3386,0.0247,0.0247,0.0197,0.0121,0.0121,0.0121,0.0219,0.0219,0.0449,0.3529541492462158
1.0,1.5,5.0,0.0243,157.9158,0.8257,0.6878,0.3389,0.0248,0.0248,0.0197,0.0125,0.0125,0.0118,0.022,0.022,0.0445,0.35057711601257324
2.0,1.5,5.0,0.0246,151.1728,0.8299,0.6782,0.3341,0.0253,0.0253,0.0185,0.0136,0.0136,0.011,0.0225,0.0225,0.0431,0.3497307300567627
3.0,1.5,5.0,0.0245,137.9607,0.8426,0.6496,0.3185,0.0252,0.0252,0.0188,0.0146,0.0146,0.0099,0.0225,0.0225,0.0428,0.34920597076416016
4.0,1.5,5.0,0.0233,120.0578,0.8707,0.5867,0.285,0.0239,0.0239,0.0176,0.0149,0.0149,0.0084,0.0214,0.0214,0.0405,0.3492255210876465
5.0,1.5,5.0,0.0194,101.24,0.915,0.4666,0.2195,0.0201,0.0201,0.0134,0.0131,0.0131,0.0063,0.0177,0.0177,0.0351,0.34901857376098633
0.0,2.0,0.0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,0.3291468620300293
1.0,2.0,0.0,0.0241,164.2062,0.8258,0.6901,0.338,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,0.32985544204711914
2.0,2.0,0.0,0.0242,163.9966,0.8254,0.69,0.3385,0.0246,0.0246,0.0199,0.0121,0.0121,0.0121,0.0221,0.0221,0.0429,0.331981897354126
3.0,2.0,0.0,0.0242,163.9647,0.8249,0.6904,0.3391,0.0247,0.0247,0.02,0.0121,0.0121,0.0121,0.0221,0.0221,0.0429,0.331554651260376
4.0,2.0,0.0,0.0242,165.0596,0.826,0.6861,0.3396,0.0246,0.0246,0.0201,0.0122,0.0122,0.012,0.0221,0.0221,0.0432,0.3327164649963379
5.0,2.0,0.0,0.0242,166.8906,0.8283,0.6791,0.3365,0.0246,0.0246,0.02,0.0119,0.0119,0.0123,0.0221,0.0221,0.0432,0.33069944381713867
