alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
4,2.0,0,0.0242,165.0596,0.826,0.6861,0.3396,0.0246,0.0246,0.0201,0.012199999999999999,0.012,0.0221,0.0221,0.0432,0.332716465
5,2.0,0,0.0242,166.8906,0.8283,0.6791,0.3365,0.0246,0.0246,0.02,0.011899999999999999,0.0123,0.0221,0.0221,0.0432,0.330699444
0,2.0,1,0.0242,162.851,0.8256,0.6914,0.3393,0.0246,0.0246,0.0202,0.0121,0.0121,0.0221,0.0221,0.0428,0.334121227
1,2.0,1,0.0242,162.8026,0.8255,0.6913,0.3395,0.0246,0.0246,0.0202,0.0121,0.0121,0.0221,0.0221,0.0428,0.330563068
2,2.0,1,0.0243,162.6059,0.8251,0.6913,0.3398,0.0248,0.0248,0.0203,0.012199999999999999,0.0121,0.0222,0.0222,0.043,0.330495596
3,2.0,1,0.0242,162.6443,0.8247,0.6915,0.3395,0.0247,0.0247,0.0201,0.012199999999999999,0.012,0.0222,0.0222,0.043,0.332015276
4,2.0,1,0.0241,163.5531,0.8256,0.6881,0.3399,0.0245,0.0245,0.02,0.012199999999999999,0.0119,0.022,0.022,0.0431,0.330653906
5,2.0,1,0.0241,165.4454,0.8281,0.6798,0.336,0.0246,0.0246,0.0202,0.012,0.0121,0.022,0.022,0.0433,0.329624414
0,2.0,2,0.0241,162.8644,0.8257,0.691,0.3388,0.0246,0.0246,0.0203,0.012,0.0121,0.022,0.022,0.043,0.329946041
1,2.0,2,0.0242,162.817,0.8256,0.6909,0.339,0.0246,0.0246,0.0203,0.0121,0.0121,0.0221,0.0221,0.043,0.329352856
2,2.0,2,0.0243,162.6297,0.8252,0.6909,0.3392,0.0247,0.0247,0.0205,0.012199999999999999,0.0121,0.0222,0.0222,0.0432,0.329780102
3,2.0,2,0.0243,162.6863,0.8248,0.6911,0.3394,0.0247,0.0247,0.0203,0.012299999999999998,0.012,0.0222,0.0222,0.043,0.330233574
4,2.0,2,0.0241,163.6093,0.8257,0.6879,0.3394,0.0245,0.0245,0.0202,0.0123,0.0118,0.022,0.022,0.0427,0.330816031
5,2.0,2,0.0241,165.528,0.8283,0.6794,0.3359,0.0246,0.0246,0.0202,0.012,0.0121,0.022,0.022,0.0429,0.330636978
0,2.0,3,0.0242,162.866,0.8257,0.6908,0.3386,0.0246,0.0246,0.0204,0.0121,0.0121,0.0221,0.0221,0.043,0.331938267
1,2.0,3,0.0242,162.8187,0.8256,0.6907,0.3389,0.0246,0.0246,0.0204,0.0121,0.0121,0.0221,0.0221,0.043,0.332997084
2,2.0,3,0.0243,162.6314,0.8253,0.6907,0.3391,0.0248,0.0248,0.0205,0.012199999999999999,0.0121,0.0222,0.0222,0.0432,0.330853701
3,2.0,3,0.0243,162.6822,0.8249,0.6909,0.3393,0.0247,0.0247,0.0203,0.012299999999999998,0.012,0.0222,0.0222,0.043,0.32861948
4,2.0,3,0.0241,163.6248,0.8257,0.6877,0.3392,0.0245,0.0245,0.0202,0.0123,0.0118,0.022,0.022,0.0427,0.330157995
5,2.0,3,0.0241,165.5541,0.8283,0.6794,0.3359,0.0245,0.0245,0.0202,0.012,0.0121,0.022,0.022,0.0428,0.331103802
0,2.0,4,0.0242,162.866,0.8257,0.6908,0.3386,0.0246,0.0246,0.0204,0.0121,0.0121,0.0221,0.0221,0.043,0.330767155
